編號,語言,詞語,轉寫1,轉寫2,翻譯,
PAN24773,原始南島語,*aCay,,,死亡,https://acd.clld.org/cognatesets/24773
PAN24981,原始南島語,*babuy,,,豬,https://acd.clld.org/cognatesets/24981
PAN25053,原始南島語,*bales,,,回答；回報,https://acd.clld.org/cognatesets/25053
PAN25140,原始南島語,*baqeRuh,,,新,https://acd.clld.org/cognatesets/25140
PAN25147,原始南島語,*baRaq,,,肺,https://acd.clld.org/cognatesets/25147
PAN25215,原始南島語,*bañaw,,,洗澡,https://acd.clld.org/cognatesets/25215
PAN25250,原始南島語,*beCeŋ,,,小米,https://acd.clld.org/cognatesets/25250
PAN25334,原始南島語,*beRas,,,稻穀,https://acd.clld.org/cognatesets/25334
PAN25336,原始南島語,*beRay,,,給,https://acd.clld.org/cognatesets/25336
PAN25340,原始南島語,*beRek,,,家豬,https://acd.clld.org/cognatesets/25340
PAN25432,原始南島語,*biCuka,,,胃,https://acd.clld.org/cognatesets/25432
PAN25504,原始南島語,*biRaq,,,野芋,https://acd.clld.org/cognatesets/25504
PAN25515,原始南島語,*biRbiR,,,嘴唇,https://acd.clld.org/cognatesets/25515
PAN25622,原始南島語,*buhet,,,松鼠,https://acd.clld.org/cognatesets/25622
PAN25768,原始南島語,*buSuk,,,酒醉,https://acd.clld.org/cognatesets/25768
PAN25775,原始南島語,*busuR,,,獵弓,https://acd.clld.org/cognatesets/25775
PAN25871,原始南島語,*Caki,,,糞便,https://acd.clld.org/cognatesets/25871
PAN25873,原始南島語,*CaliS,,,繩索,https://acd.clld.org/cognatesets/25873
PAN25874,原始南島語,*Caliŋa,,,耳朵,https://acd.clld.org/cognatesets/25874
PAN25884,原始南島語,*Cawa,,,笑,https://acd.clld.org/cognatesets/25884
PAN25894,原始南島語,*CebuS,,,甘蔗,https://acd.clld.org/cognatesets/25894
PAN25925,原始南島語,*CiŋaS,,,菜渣,https://acd.clld.org/cognatesets/25925
PAN25970,原始南島語,*daReq,,,泥土,https://acd.clld.org/cognatesets/25970
PAN26002,原始南島語,*deRdeR,,,雷,https://acd.clld.org/cognatesets/26002
PAN26107,原始南島語,*enem,,,六,https://acd.clld.org/cognatesets/26107
PAN27005,原始南島語,*linuR,,,地震,https://acd.clld.org/cognatesets/27005
PAN27016,原始南島語,*liŋaw,,,影子,https://acd.clld.org/cognatesets/27016
PAN27060,原始南島語,*luem,,,熟成,https://acd.clld.org/cognatesets/27060
PAN27068,原始南島語,*Nusuŋ,,,搗米臼,https://acd.clld.org/cognatesets/27068
PAN27170,原始南島語,*Nabek,,,碎浪,https://acd.clld.org/cognatesets/27170
PAN27271,原始南島語,*paliSi,,,禁忌,https://acd.clld.org/cognatesets/27271
PAN27380,原始南島語,*paŋudaN,,,露兜樹,https://acd.clld.org/cognatesets/27380
PAN27554,原始南島語,*qabu,,,灰燼,https://acd.clld.org/cognatesets/27554
PAN27555,原始南島語,*qaCay,,,肝臟,https://acd.clld.org/cognatesets/27555
PAN27564,原始南島語,*qalad,,,圍籬；牆,https://acd.clld.org/cognatesets/27564
PAN27606,原始南島語,*qaNi-,,,(與神靈、自然有 關),https://acd.clld.org/cognatesets/27606
PAN27645,原始南島語,*qaSelu,,,杵,https://acd.clld.org/cognatesets/27645
PAN27687,原始南島語,*qayam,,,鳥,https://acd.clld.org/cognatesets/27687
PAN27711,原始南島語,*qebel,,,煙,https://acd.clld.org/cognatesets/27711
PAN27712,原始南島語,*qeCah,,,米糠,https://acd.clld.org/cognatesets/27712
PAN27733,原始南島語,*qenay,,,砂土,https://acd.clld.org/cognatesets/27733
PAN27735,原始南島語,*qeNeb,,,關；門,https://acd.clld.org/cognatesets/27735
PAN27850,原始南島語,*qudip,,,生命；活著,https://acd.clld.org/cognatesets/27850
PAN27867,原始南島語,*quluh,,,頭部,https://acd.clld.org/cognatesets/27867
PAN27912,原始南島語,*quzaN,,,雨水,https://acd.clld.org/cognatesets/27912
PAN28052,原始南島語,*RuqaNay,,,男性,https://acd.clld.org/cognatesets/28052
PAN28117,原始南島語,*Sapuy,,,火,https://acd.clld.org/cognatesets/28117
PAN28187,原始南島語,*Sepat,,,四,https://acd.clld.org/cognatesets/28187
PAN28200,原始南島語,*Seyup,,,吹氣,https://acd.clld.org/cognatesets/28200
PAN28202,原始南島語,*Señaw,,,洗滌,https://acd.clld.org/cognatesets/28202
PAN28224,原始南島語,*Sikan,,,魚類,https://acd.clld.org/cognatesets/28224
PAN28241,原始南島語,*SimaR,,,油脂,https://acd.clld.org/cognatesets/28241
PAN28254,原始南島語,*Sipi,,,夢,https://acd.clld.org/cognatesets/28254
PAN28293,原始南島語,*Suab,,,打呵欠,https://acd.clld.org/cognatesets/28293
PAN28394,原始南島語,*taqan,,,陷阱,https://acd.clld.org/cognatesets/28394
PAN28495,原始南島語,*timij,,,下巴,https://acd.clld.org/cognatesets/28495
PAN28681,原始南島語,*utaq,,,嘔吐,https://acd.clld.org/cognatesets/28681
PAN28735,原始南島語,*walu,,,八,https://acd.clld.org/cognatesets/28735
PAN28745,原始南島語,*waRi,,,日；晾曬,https://acd.clld.org/cognatesets/28745
PAN28770,原始南島語,*wiRi,,,左,https://acd.clld.org/cognatesets/28770
PAN29830,原始南島語,*bajaq,,,知道；詢問,https://acd.clld.org/cognatesets/29830
PAN29894,原始南島語,*beNbeN,,,香蕉,https://acd.clld.org/cognatesets/29894
PAN29898,原始南島語,*CawiN,,,年,https://acd.clld.org/cognatesets/29898
PAN29900,原始南島語,*Cumay,,,台灣黑熊,https://acd.clld.org/cognatesets/29900
PAN29910,原始南島語,*lawaR,,,飛鼠,https://acd.clld.org/cognatesets/29910
PAN29912,原始南島語,*lukeNaw,,,雲豹,https://acd.clld.org/cognatesets/29912
PAN29922,原始南島語,*Rubu,,,巢穴,https://acd.clld.org/cognatesets/29922
PAN29923,原始南島語,*sakeC,,,山羌,https://acd.clld.org/cognatesets/29923
PAN29927,原始南島語,*waNiS,,,山豬獠牙,https://acd.clld.org/cognatesets/29927
PAN29928,原始南島語,*waNu,,,蜜蜂,https://acd.clld.org/cognatesets/29928
PAN29941,原始南島語,*Cali,,,食用芋,https://acd.clld.org/cognatesets/29941
PAN29943,原始南島語,*qeCeŋeN,,,黑色,https://acd.clld.org/cognatesets/29943
PAN29952,原始南島語,*dawiN,,,遠,https://acd.clld.org/cognatesets/29952
PAN29962,原始南島語,*punuq,,,腦；髓質,https://acd.clld.org/cognatesets/29962
PAN29963,原始南島語,*puSaN,,,雙倍,https://acd.clld.org/cognatesets/29963
PAN29993,原始南島語,*puNi,,,潔白,https://acd.clld.org/cognatesets/29993
PAN30002,原始南島語,*SipuR,,,數數,https://acd.clld.org/cognatesets/30002
PAN30004,原始南島語,*taRuqan,,,工寮,https://acd.clld.org/cognatesets/30004
PAN30010,原始南島語,*dapaN,,,腳底；足跡,https://acd.clld.org/cognatesets/30010
PAN30015,原始南島語,*siRa,,,昨日,https://acd.clld.org/cognatesets/30015
PAN30076,原始南島語,*walay,,,絲線,https://acd.clld.org/cognatesets/30076
PAN30154,原始南島語,*puluq,,,十,https://acd.clld.org/cognatesets/30154
PAN30164,原始南島語,*bahi,,,女性,https://acd.clld.org/cognatesets/30164
PAN30173,原始南島語,*daŋdaŋ,,,烤火,https://acd.clld.org/cognatesets/30173
PAN30206,原始南島語,*lahud,,,順流,https://acd.clld.org/cognatesets/30206
PAN30247,原始南島語,*keRet,,,切；割,https://acd.clld.org/cognatesets/30247
PAN30248,原始南島語,*Nihib,,,岩洞,https://acd.clld.org/cognatesets/30248
PAN30254,原始南島語,*dilaq,,,舔,https://acd.clld.org/cognatesets/30254
PAN30264,原始南島語,*baqeSiŋ,,,噴嚏,https://acd.clld.org/cognatesets/30264
PAN30290,原始南島語,*naNaq,,,膿,https://acd.clld.org/cognatesets/30290
PAN30316,原始南島語,*likaC,,,閃電,https://acd.clld.org/cognatesets/30316
PAN30319,原始南島語,*NaCeŋ,,,蔬菜,https://acd.clld.org/cognatesets/30319
PAN30320,原始南島語,*NataD,,,外面,https://acd.clld.org/cognatesets/30320
PAN30340,原始南島語,*nema,,,什麼,https://acd.clld.org/cognatesets/30340
PAN30352,原始南島語,*timus,,,鹽,https://acd.clld.org/cognatesets/30352
PAN30357,原始南島語,*liqeR,,,脖子,https://acd.clld.org/cognatesets/30357
PAN30364,原始南島語,*diRi,,,站,https://acd.clld.org/cognatesets/30364
PAN30365,原始南島語,*lima,,,五,https://acd.clld.org/cognatesets/30365
PAN30389,原始南島語,*sepsep,,,吸吮,https://acd.clld.org/cognatesets/30389
PAN30393,原始南島語,*ŋajan,,,名字,https://acd.clld.org/cognatesets/30393
PAN30419,原始南島語,*ŋusuq,,,口鼻,https://acd.clld.org/cognatesets/30419
PAN30434,原始南島語,*Rudaŋ,,,年老,https://acd.clld.org/cognatesets/30434
PAN30447,原始南島語,*gemgem,,,拳頭；握拳,https://acd.clld.org/cognatesets/30447
PAN30453,原始南島語,*susu,,,乳房,https://acd.clld.org/cognatesets/30453
PAN30459,原始南島語,*kuCux,,,頭蝨,https://acd.clld.org/cognatesets/30459
